#Name,Male/Female,Blade/Gunner,Level,HR,Rarity,Slots,Min Defense,Max Defense,Fire Res,Water Res,Thunder Res,Ice Res,Dragon Res,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Skill 4,Points 4,Skill 5,Points 5,Skill 6,Points 6,Skill 7,Points 7,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4,Material 5,Num 5
初阶河狸兽腕甲,0,0,1,0,0,1,2,2,0,0,0,0,0,千里眼,1,火耐性,-1,,,,,,,,,,,河狸兽的爪,6,河狸兽的皮,4,圆蚂蚱,3,兽骨【小】,3,,
初阶河狸兽护手,0,1,1,0,0,1,1,1,0,0,0,0,0,千里眼,1,火耐性,-1,,,,,,,,,,,河狸兽的爪,6,河狸兽的皮,4,圆蚂蚱,3,兽骨【小】,3,,
初阶蓝速龙王腕甲,0,0,1,0,0,1,2,2,0,0,0,0,0,气绝抵抗,3,药王,2,麻痹抵抗,-1,,,,,,,,,蓝速龙的鳞,6,蓝速龙王的牙,4,蓝速龙王的头冠,3,龙骨【小】,3,原盘石,3
初阶蓝速龙王护手,0,1,1,0,0,1,1,1,0,0,0,0,0,气绝抵抗,3,药王,2,麻痹抵抗,-1,,,,,,,,,蓝速龙的鳞,6,蓝速龙王的牙,4,蓝速龙王的头冠,3,龙骨【小】,3,原盘石,3
初阶大野猪王腕甲,0,0,1,0,0,1,2,2,0,0,0,0,0,防御,2,饥饿感,-1,,,,,,,,,,,大野猪王的牙,4,大野猪的皮,6,龙骨【小】,3,原盘石,3,,
初阶大野猪王护手,0,1,1,0,0,1,1,1,0,0,0,0,0,防御,2,饥饿感,-1,,,,,,,,,,,大野猪王的牙,4,大野猪的皮,6,龙骨【小】,3,原盘石,3,,
初阶大怪鸟腕甲,0,0,1,0,0,1,2,2,0,0,0,0,0,攻击,1,火耐性,2,防御,-1,,,,,,,,,怪鸟的爪,4,怪鸟的鳞,6,兽骨【小】,3,铁矿石,3,,
初阶大怪鸟护手,0,1,1,0,0,1,1,1,0,0,0,0,0,攻击,1,火耐性,2,防御,-1,,,,,,,,,怪鸟的爪,4,怪鸟的鳞,6,兽骨【小】,3,铁矿石,3,,
初阶黄速龙王腕甲,0,0,1,0,0,1,2,2,0,0,0,0,0,麻痹抵抗,2,特殊攻击,3,,,,,,,,,,,黄速龙王的麻痹牙,6,黄速龙王的皮,6,黄速龙王的头冠,4,圆蚂蚱,3,,
初阶黄速龙王护手,0,1,1,0,0,1,1,1,0,0,0,0,0,麻痹抵抗,2,特殊攻击,3,,,,,,,,,,,黄速龙王的麻痹牙,6,黄速龙王的皮,6,黄速龙王的头冠,4,圆蚂蚱,3,,
初阶鬼狩蛛腕甲,0,0,10,0,0,0,3,3,-1,0,0,0,0,KO术,2,研磨师,2,气息,-2,,,,,,,,,鬼狩蛛的甲壳,6,鬼狩蛛的体液,4,鬼狩蛛的复眼,3,龙骨【小】,3,原盘石,3
初阶鬼狩蛛护手,0,1,10,0,0,0,2,2,0,0,0,0,0,KO术,2,散弹强化,2,气息,-2,,,,,,,,,鬼狩蛛的甲壳,6,鬼狩蛛的体液,4,鬼狩蛛的复眼,3,龙骨【小】,3,原盘石,3
初阶沙狸兽腕甲,0,0,10,0,0,0,3,3,0,-1,0,0,0,耐泥雪,2,高速设置,2,攻击,-2,,,,,,,,,沙狸兽的爪,4,沙狸兽之皮,6,龙骨【小】,3,原盘石,3,,
初阶沙狸兽护手,0,1,10,0,0,0,2,2,0,-1,0,0,0,耐泥雪,2,高速设置,2,攻击,-2,,,,,,,,,沙狸兽的爪,4,沙狸兽之皮,6,龙骨【小】,3,原盘石,3,,
初阶毒怪鸟腕甲,0,0,10,0,0,1,3,3,-1,0,0,0,0,毒抵抗,2,雷耐性,2,饥饿感,-2,,,,,,,,,毒怪鸟的翼,6,毒怪鸟的皮,4,山青虫,3,龙骨【小】,3,,
初阶毒怪鸟护手,0,1,10,0,0,1,2,2,0,0,0,0,0,毒抵抗,2,雷耐性,2,饥饿感,-2,,,,,,,,,毒怪鸟的翼,6,毒怪鸟的皮,4,山青虫,3,龙骨【小】,3,,
初阶桃毛兽王腕甲,0,0,10,0,0,1,3,3,0,0,0,0,0,抗菌,2,食事,3,饥饿感,-2,,,,,,,,,桃毛兽王的皮,6,桃毛兽王的牙,4,淡彩色的毛,3,兽骨【小】,3,铁矿石,3
初阶桃毛兽王护手,0,1,10,0,0,1,2,2,0,0,0,0,0,抗菌,2,食事,3,饥饿感,-2,,,,,,,,,桃毛兽王的皮,6,桃毛兽王的牙,4,淡彩色的毛,3,兽骨【小】,3,铁矿石,3
初阶沙雷鸟腕甲,0,0,10,0,0,1,3,3,0,-1,0,0,1,风压抵抗,2,无伤,3,回复速度,-2,,,,,,,,,沙雷鸟的翼,6,绿色的粘液,6,沙雷鸟的嗉囊,4,山青虫,3,,
初阶沙雷鸟护手,0,1,10,0,0,1,2,2,0,0,0,0,0,风压抵抗,2,无伤,3,回复速度,-2,,,,,,,,,沙雷鸟的翼,6,绿色的粘液,6,沙雷鸟的嗉囊,4,山青虫,3,,
初阶沙龙王腕甲,0,0,10,0,0,1,3,3,1,0,0,-1,0,耐暑,2,会心术,2,耐寒,-3,,,,,,,,,沙龙王的皮,4,沙龙的鳞,6,龙骨【小】,3,原盘石,3,,
初阶沙龙王护手,0,1,10,0,0,1,2,2,0,0,0,-1,0,耐暑,2,会心术,2,耐寒,-3,,,,,,,,,沙龙王的皮,4,沙龙的鳞,6,龙骨【小】,3,原盘石,3,,
初阶大名盾蟹腕甲,0,0,20,0,0,2,7,7,0,1,-2,0,0,防御,3,风压抵抗,2,雷属性攻击,-2,,,,,,,,,盾蟹的甲壳,6,盾蟹的脚,4,黑珍珠,3,龙骨【中】,3,大地结晶,3
初阶大名盾蟹护手,0,1,20,0,0,2,5,5,0,1,-2,0,0,防御,3,风压抵抗,2,雷属性攻击,-2,,,,,,,,,盾蟹的甲壳,6,盾蟹的脚,4,黑珍珠,3,龙骨【中】,3,大地结晶,3
初阶青怪鸟腕甲,0,0,20,0,0,0,7,7,0,-1,0,0,0,达人,1,火属性攻击,2,体力,-2,,,,,,,,,青怪鸟的爪,4,青怪鸟的鳞,6,龙骨【中】,3,大地结晶,3,,
初阶青怪鸟护手,0,1,20,0,0,0,5,5,0,-1,0,0,0,达人,1,火属性攻击,2,体力,-2,,,,,,,,,青怪鸟的爪,4,青怪鸟的鳞,6,龙骨【中】,3,大地结晶,3,,
初阶电龙腕甲,0,0,20,0,0,0,7,7,-2,0,1,0,0,回复速度,4,广域化,2,气绝抵抗,-2,,,,,,,,,电龙的翼,6,柔软的皮,4,杀人蜂幼虫,3,龙骨【中】,3,,
初阶电龙护手,0,1,20,0,0,0,5,5,-2,0,1,0,0,回复速度,4,广域化,2,气绝抵抗,-2,,,,,,,,,电龙的翼,6,柔软的皮,4,杀人蜂幼虫,3,龙骨【中】,3,,
初阶岩龙腕甲,0,0,20,0,0,2,7,7,0,0,0,0,0,睡眠抵抗,2,防御性能,2,麻痹抵抗,-2,,,,,,,,,岩龙的头壳,6,岩龙的背壳,4,岩龙的泪,3,兽骨【中】,3,燕雀石,3
初阶岩龙护手,0,1,20,0,0,2,5,5,0,0,0,0,0,睡眠抵抗,2,快速装填,2,麻痹抵抗,-2,,,,,,,,,岩龙的头壳,6,岩龙的背壳,4,岩龙的泪,3,兽骨【中】,3,燕雀石,3
初阶眠鸟腕甲,0,0,20,0,0,0,7,7,-1,0,0,0,0,睡眠抵抗,2,荷尔蒙,2,回复速度,-2,,,,,,,,,眠鸟的爪,4,稀释的眠液,6,兽骨【中】,3,燕雀石,3,,
初阶眠鸟护手,0,1,20,0,0,0,5,5,-1,0,0,0,0,睡眠抵抗,2,荷尔蒙,2,回复速度,-2,,,,,,,,,眠鸟的爪,4,稀释的眠液,6,兽骨【中】,3,燕雀石,3,,
初阶金毛兽王腕甲,0,0,30,0,0,1,16,16,-1,2,0,0,0,底力,1,重击,2,防御,-3,,,,,,,,,金毛兽王的毛,6,金毛兽王的皮,4,黏着白蚁,3,兽骨【中】,3,,
初阶金毛兽王护手,0,1,30,0,0,1,12,12,-1,2,0,0,0,底力,1,重击,2,防御,-3,,,,,,,,,金毛兽王的毛,6,金毛兽王的皮,4,黏着白蚁,3,兽骨【中】,3,,
初阶骇狩蛛腕甲,0,0,30,0,0,0,16,16,-2,0,1,1,0,毒抵抗,2,麻痹抵抗,2,睡眠抵抗,-2,,,,,,,,,骇狩蛛的爪,4,骇狩蛛的甲壳,6,兽骨【中】,3,燕雀石,3,,
初阶骇狩蛛护手,0,1,30,0,0,0,12,12,-2,0,1,1,0,毒抵抗,2,麻痹抵抗,2,睡眠抵抗,-2,,,,,,,,,骇狩蛛的爪,4,骇狩蛛的甲壳,6,兽骨【中】,3,燕雀石,3,,
初阶紫毒鸟腕甲,0,0,30,0,0,1,16,16,-3,0,2,1,0,气绝抵抗,4,风压抵抗,2,加护,-1,,,,,,,,,紫毒鸟的嘴,6,毒鸟的紫头,6,诡异的光水晶,4,黏着白蚁,3,,
初阶紫毒鸟护手,0,1,30,0,0,1,12,12,-3,0,2,1,0,气绝抵抗,4,风压抵抗,2,加护,-1,,,,,,,,,紫毒鸟的嘴,6,毒鸟的紫头,6,诡异的光水晶,4,黏着白蚁,3,,
初阶将军镰蟹腕甲,0,0,30,0,0,0,16,16,0,1,-2,0,1,锋利度,2,研磨师,2,体力,-3,,,,,,,,,镰蟹的爪,6,镰蟹的甲壳,4,杀人蜂幼虫,3,龙骨【中】,3,,
初阶将军镰蟹护手,0,1,30,0,0,0,12,12,0,1,-2,0,1,贯通弹强化,2,快速装填,2,体力,-3,,,,,,,,,镰蟹的爪,6,镰蟹的甲壳,4,杀人蜂幼虫,3,龙骨【中】,3,,
初阶雪狮子王腕甲,0,0,30,0,0,1,16,16,-2,1,0,1,0,耐泥雪,2,耐寒,3,冰属性攻击,2,气绝抵抗,-2,,,,,,,雪狮子的皮,6,雪狮子的大骨,4,雪狮子的髭,3,兽骨【中】,3,燕雀石,3
初阶雪狮子王护手,0,1,30,0,0,1,12,12,-2,1,0,1,0,耐泥雪,2,耐寒,3,冰属性攻击,2,气绝抵抗,-2,,,,,,,雪狮子的皮,6,雪狮子的大骨,4,雪狮子的髭,3,兽骨【中】,3,燕雀石,3
