#Name,Male/Female,Blade/GUNner,Level,HR,Rarity,Slots,Min Defense,Max Defense,Fire Res,Water Res,Thunder Res,Ice Res,Dragon Res,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Skill 4,Points 4,Skill 5,Points 5,Skill 6,Points 6,Skill 7,Points 7,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4,Material 5,Num 5
初阶河狸兽铠甲,0,0,1,0,0,0,3,3,-1,1,0,0,0,千里眼,4,食事,3,火耐性,-1,,,,,,,,,河狸兽的皮,6,河狸兽的牙,4,磨损的门牙,3,兽骨【小】,3,铁矿石,3
初阶河狸兽护甲,0,1,1,0,0,0,2,2,-1,1,0,0,0,千里眼,4,食事,3,火耐性,-1,,,,,,,,,河狸兽的皮,6,河狸兽的牙,4,磨损的门牙,3,兽骨【小】,3,铁矿石,3
初阶蓝速龙王铠甲,0,0,1,0,0,1,3,3,1,0,1,0,-1,气绝抵抗,2,药王,2,麻痹抵抗,-2,,,,,,,,,蓝速龙王的牙,6,蓝速龙王的皮,6,蓝速龙王的爪,4,山青虫,3,,
初阶蓝速龙王护甲,0,1,1,0,0,1,2,2,1,0,1,0,-1,气绝抵抗,2,药王,2,麻痹抵抗,-2,,,,,,,,,蓝速龙王的牙,6,蓝速龙王的皮,6,蓝速龙王的爪,4,山青虫,3,,
初阶大野猪王铠甲,0,0,1,0,0,0,3,3,1,-1,-1,0,1,研磨师,2,防御,2,饥饿感,-2,,,,,,,,,大野猪王的牙,6,大野猪的皮,4,圆蚂蚱,3,兽骨【小】,3,,
初阶大野猪王护甲,0,1,1,0,0,0,2,2,1,-1,-1,0,1,通常弹强化,2,防御,2,饥饿感,-2,,,,,,,,,大野猪王的牙,6,大野猪的皮,4,圆蚂蚱,3,兽骨【小】,3,,
初阶大怪鸟铠甲,0,0,1,0,0,1,3,3,1,-1,-1,-1,1,攻击,1,火耐性,2,防御,-1,,,,,,,,,怪鸟的爪,6,怪鸟的鳞,4,山青虫,3,龙骨【小】,3,,
初阶大怪鸟护甲,0,1,1,0,0,1,2,2,1,-1,-1,-1,1,攻击,1,火耐性,2,防御,-1,,,,,,,,,怪鸟的爪,6,怪鸟的鳞,4,山青虫,3,龙骨【小】,3,,
初阶黄速龙王铠甲,0,0,1,0,0,0,3,3,1,-1,1,-1,-1,麻痹抵抗,2,回复速度,-3,,,,,,,,,,,黄速龙王的爪,6,黄速龙的鳞,4,圆蚂蚱,3,兽骨【小】,3,,
初阶黄速龙王护甲,0,1,1,0,0,0,2,2,1,-1,1,-1,-1,麻痹抵抗,2,回复速度,-3,,,,,,,,,,,黄速龙王的爪,6,黄速龙的鳞,4,圆蚂蚱,3,兽骨【小】,3,,
初阶鬼狩蛛铠甲,0,0,10,0,0,1,6,6,-1,1,0,1,0,KO术,2,研磨师,3,气息,-2,,,,,,,,,鬼狩蛛的体液,6,鬼狩蛛的毛,6,鬼狩蛛的蛛丝,4,山青虫,3,,
初阶鬼狩蛛护甲,0,1,10,0,0,1,5,5,-1,1,0,1,0,KO术,2,散弹强化,3,气息,-2,,,,,,,,,鬼狩蛛的体液,6,鬼狩蛛的毛,6,鬼狩蛛的蛛丝,4,山青虫,3,,
初阶沙狸兽铠甲,0,0,10,0,0,1,6,6,1,-2,1,0,1,耐泥雪,2,高速设置,1,攻击,-1,,,,,,,,,沙狸兽的爪,6,沙狸兽之皮,4,圆蚂蚱,3,兽骨【小】,3,,
初阶沙狸兽护甲,0,1,10,0,0,1,5,5,1,-2,1,0,1,耐泥雪,2,高速设置,1,攻击,-1,,,,,,,,,沙狸兽的爪,6,沙狸兽之皮,4,圆蚂蚱,3,兽骨【小】,3,,
初阶毒怪鸟铠甲,0,0,10,0,0,1,6,6,-1,1,1,0,0,毒抵抗,2,雷耐性,2,饥饿感,-1,,,,,,,,,毒怪鸟的嘴,6,毒怪鸟的头,6,变异的光水晶,4,山青虫,3,,
初阶毒怪鸟护甲,0,1,10,0,0,1,5,5,-1,1,1,0,0,毒抵抗,2,雷耐性,2,饥饿感,-1,,,,,,,,,毒怪鸟的嘴,6,毒怪鸟的头,6,变异的光水晶,4,山青虫,3,,
初阶桃毛兽王铠甲,0,0,10,0,0,0,6,6,-1,0,1,0,0,抗菌,2,食事,2,饥饿感,-2,,,,,,,,,桃毛兽的毛,4,桃毛兽王的皮,6,龙骨【小】,3,原盘石,3,,
初阶桃毛兽王护甲,0,1,10,0,0,0,5,5,-1,0,1,0,0,抗菌,2,食事,2,饥饿感,-2,,,,,,,,,桃毛兽的毛,4,桃毛兽王的皮,6,龙骨【小】,3,原盘石,3,,
初阶沙雷鸟铠甲,0,0,10,0,0,0,6,6,0,-1,0,-1,1,风压抵抗,2,无伤,1,回复速度,-1,,,,,,,,,火红的鬃毛,6,沙雷鸟的皮,4,山青虫,3,龙骨【小】,3,,
初阶沙雷鸟护甲,0,1,10,0,0,0,5,5,0,-1,0,-1,1,风压抵抗,2,无伤,1,回复速度,-1,,,,,,,,,火红的鬃毛,6,沙雷鸟的皮,4,山青虫,3,龙骨【小】,3,,
初阶沙龙王铠甲,0,0,10,0,0,1,6,6,1,-1,0,-2,1,耐暑,2,会心术,2,耐寒,-2,,,,,,,,,沙龙王的牙,6,沙龙王的储砂袋,6,弯月之头冠,4,圆蚂蚱,3,,
初阶沙龙王护甲,0,1,10,0,0,1,5,5,1,-1,0,-2,1,耐暑,2,会心术,2,耐寒,-2,,,,,,,,,沙龙王的牙,6,沙龙王的储砂袋,6,弯月之头冠,4,圆蚂蚱,3,,
