#Name,Male/Female,Blade/Gunner,Level,HR,Rarity,Slots,Min Defense,Max Defense,Fire Res,Water Res,Thunder Res,Ice Res,Dragon Res,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Skill 4,Points 4,Skill 5,Points 5,Skill 6,Points 6,Skill 7,Points 7,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4,Material 5,Num 5
初阶河狸兽头盔,0,0,1,0,0,1,2,2,0,1,0,0,0,千里眼,2,食事,1,火耐性,-2,,,,,,,,,河狸兽的爪,4,河狸兽的皮,6,龙骨【小】,3,原盘石,3,,
初阶河狸兽战帽,0,1,1,0,0,1,1,1,0,1,0,0,0,千里眼,2,食事,1,火耐性,-2,,,,,,,,,河狸兽的爪,4,河狸兽的皮,6,龙骨【小】,3,原盘石,3,,
初阶蓝速龙王头盔,0,0,1,0,0,0,2,2,0,0,0,0,0,气绝抵抗,2,药王,2,麻痹抵抗,-1,,,,,,,,,蓝速龙王的爪,4,蓝速龙的鳞,6,兽骨【小】,3,铁矿石,3,,
初阶蓝速龙王战帽,0,1,1,0,0,0,1,1,0,0,0,0,0,气绝抵抗,2,药王,2,麻痹抵抗,-1,,,,,,,,,蓝速龙王的爪,4,蓝速龙的鳞,6,兽骨【小】,3,铁矿石,3,,
初阶大野猪王头盔,0,0,1,0,0,1,2,2,0,-1,0,0,0,研磨师,3,防御,2,饥饿感,-1,,,,,,,,,大野猪的皮,6,大野猪王的蹄,4,大野猪王的卷曲牙,3,兽骨【小】,3,铁矿石,3
初阶大野猪王战帽,0,1,1,0,0,1,1,1,0,-1,0,0,0,通常弹强化,3,防御,2,饥饿感,-1,,,,,,,,,大野猪的皮,6,大野猪王的蹄,4,大野猪王的卷曲牙,3,兽骨【小】,3,铁矿石,3
初阶大怪鸟头盔,0,0,1,0,0,0,2,2,0,0,-1,0,1,攻击,3,火耐性,2,防御,-1,,,,,,,,,怪鸟的背甲,6,怪鸟的翼,6,怪鸟的耳,4,山青虫,3,,
初阶大怪鸟战帽,0,1,1,0,0,0,1,1,0,0,-1,0,1,攻击,3,火耐性,2,防御,-1,,,,,,,,,怪鸟的背甲,6,怪鸟的翼,6,怪鸟的耳,4,山青虫,3,,
初阶黄速龙王头盔,0,0,1,0,0,1,2,2,0,0,1,-1,0,麻痹抵抗,2,特殊攻击,2,,,,,,,,,,,黄速龙王的爪,4,黄速龙的鳞,6,龙骨【小】,3,原盘石,3,,
初阶黄速龙王战帽,0,1,1,0,0,1,1,1,0,0,1,-1,0,麻痹抵抗,2,特殊攻击,2,,,,,,,,,,,黄速龙王的爪,4,黄速龙的鳞,6,龙骨【小】,3,原盘石,3,,
初阶鬼狩蛛头盔,0,0,10,0,0,0,3,3,-1,0,0,0,0,KO术,2,研磨师,2,气息,-2,,,,,,,,,鬼狩蛛的爪,4,鬼狩蛛的甲壳,6,兽骨【小】,3,铁矿石,3,,
初阶鬼狩蛛战帽,0,1,10,0,0,0,2,2,-1,0,0,0,0,KO术,2,散弹强化,2,气息,-2,,,,,,,,,鬼狩蛛的爪,4,鬼狩蛛的甲壳,6,兽骨【小】,3,铁矿石,3,,
初阶沙狸兽头盔,0,0,10,0,0,1,3,3,0,-1,0,0,0,耐泥雪,2,高速设置,3,攻击,-2,,,,,,,,,沙狸兽之皮,6,沙狸兽的牙,4,储沙囊,3,兽骨【小】,3,铁矿石,3
初阶沙狸兽战帽,0,1,10,0,0,1,2,2,0,-1,0,0,0,耐泥雪,2,高速设置,3,攻击,-2,,,,,,,,,沙狸兽之皮,6,沙狸兽的牙,4,储沙囊,3,兽骨【小】,3,铁矿石,3
初阶毒怪鸟头盔,0,0,10,0,0,0,3,3,-1,0,0,0,0,毒抵抗,2,雷耐性,2,饥饿感,-2,,,,,,,,,毒怪鸟的翼,4,毒怪鸟的皮,6,兽骨【小】,3,铁矿石,3,,
初阶毒怪鸟战帽,0,1,10,0,0,0,2,2,-1,0,0,0,0,毒抵抗,2,雷耐性,2,饥饿感,-2,,,,,,,,,毒怪鸟的翼,4,毒怪鸟的皮,6,兽骨【小】,3,铁矿石,3,,
初阶桃毛兽王头盔,0,0,10,0,0,1,3,3,0,0,0,0,0,抗菌,2,食事,2,饥饿感,-2,,,,,,,,,桃毛兽王的牙,6,桃毛兽王的大骨,6,桃毛兽王的爪,4,圆蚂蚱,3,,
初阶桃毛兽王战帽,0,1,10,0,0,1,2,2,0,0,0,0,0,抗菌,2,食事,2,饥饿感,-2,,,,,,,,,桃毛兽王的牙,6,桃毛兽王的大骨,6,桃毛兽王的爪,4,圆蚂蚱,3,,
初阶沙雷鸟头盔,0,0,10,0,0,1,3,3,0,-1,0,0,1,风压抵抗,2,无伤,1,回复速度,-2,,,,,,,,,火红的鬃毛,4,沙雷鸟的皮,6,兽骨【小】,3,铁矿石,3,,
初阶沙雷鸟战帽,0,1,10,0,0,1,2,2,0,-1,0,0,1,风压抵抗,2,无伤,1,回复速度,-2,,,,,,,,,火红的鬃毛,4,沙雷鸟的皮,6,兽骨【小】,3,铁矿石,3,,
初阶沙龙王头盔,0,0,10,0,0,1,3,3,1,0,0,-1,0,耐暑,2,会心术,2,耐寒,-1,,,,,,,,,沙龙的鳞,6,沙龙王的牙,4,桃色的鳞,3,兽骨【小】,3,铁矿石,3
初阶沙龙王战帽,0,1,10,0,0,1,2,2,1,0,0,-1,0,耐暑,2,会心术,2,耐寒,-1,,,,,,,,,沙龙的鳞,6,沙龙王的牙,4,桃色的鳞,3,兽骨【小】,3,铁矿石,3
初阶大名盾蟹头盔,0,0,20,0,0,0,7,7,-1,2,-2,1,0,防御,2,风压抵抗,2,雷属性攻击,-2,,,,,,,,,盾蟹的爪,4,盾蟹的甲壳,6,兽骨【中】,3,燕雀石,3,,
初阶大名盾蟹战帽,0,1,20,0,0,0,5,5,-1,1,-2,1,0,防御,2,风压抵抗,2,雷属性攻击,-2,,,,,,,,,盾蟹的爪,4,盾蟹的甲壳,6,兽骨【中】,3,燕雀石,3,,
初阶青怪鸟头盔,0,0,20,0,0,1,7,7,1,-2,-1,0,1,达人,3,火属性攻击,2,体力,-2,,,,,,,,,青怪鸟的翼,6,青怪鸟的背甲,6,青怪鸟的耳,4,黏着白蚁,3,,
初阶青怪鸟战帽,0,1,20,0,0,1,5,5,1,-1,-1,0,1,达人,3,火属性攻击,2,体力,-2,,,,,,,,,青怪鸟的翼,6,青怪鸟的背甲,6,青怪鸟的耳,4,黏着白蚁,3,,
初阶电龙头盔,0,0,20,0,0,1,7,7,-2,1,2,1,-1,回复速度,5,广域化,2,气绝抵抗,-2,,,,,,,,,电龙的翼,4,柔软的皮,6,兽骨【中】,3,燕雀石,3,,
初阶电龙战帽,0,1,20,0,0,1,5,5,-2,1,1,1,-1,回复速度,5,广域化,2,气绝抵抗,-2,,,,,,,,,电龙的翼,4,柔软的皮,6,兽骨【中】,3,燕雀石,3,,
初阶岩龙头盔,0,0,20,0,0,1,7,7,-1,0,0,-1,1,睡眠抵抗,2,防御性能,2,麻痹抵抗,-2,,,,,,,,,岩龙的翼,4,岩龙的头壳,6,龙骨【中】,3,大地结晶,3,,
初阶岩龙战帽,0,1,20,0,0,1,5,5,-1,0,0,-1,1,睡眠抵抗,2,快速装填,2,麻痹抵抗,-2,,,,,,,,,岩龙的翼,4,岩龙的头壳,6,龙骨【中】,3,大地结晶,3,,
初阶眠鸟头盔,0,0,20,0,0,1,7,7,-2,1,0,0,1,睡眠抵抗,2,荷尔蒙,3,回复速度,-2,,,,,,,,,破损的眠袋,6,眠鸟的羽毛,6,七色的尾羽,4,杀人蜂幼虫,3,,
初阶眠鸟战帽,0,1,20,0,0,1,5,5,-1,1,0,0,1,睡眠抵抗,2,荷尔蒙,3,回复速度,-2,,,,,,,,,破损的眠袋,6,眠鸟的羽毛,6,七色的尾羽,4,杀人蜂幼虫,3,,
初阶金毛兽王头盔,0,0,30,0,0,1,16,16,-1,3,0,0,0,底力,1,重击,2,防御,-3,,,,,,,,,金毛兽王的毛,4,金毛兽王的皮,6,龙骨【中】,3,大地结晶,3,,
初阶金毛兽王战帽,0,1,30,0,0,1,12,12,-1,2,0,0,0,底力,1,重击,2,防御,-3,,,,,,,,,金毛兽王的毛,4,金毛兽王的皮,6,龙骨【中】,3,大地结晶,3,,
