#Name,Male/Female,Blade/Gunner,Level,HR,Rarity,Slots,Min Defense,Max Defense,Fire Res,Water Res,Thunder Res,Ice Res,Dragon Res,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Skill 4,Points 4,Skill 5,Points 5,Skill 6,Points 6,Skill 7,Points 7,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4,Material 5,Num 5
初阶河狸兽腿甲,0,0,1,0,0,0,2,2,0,0,0,0,0,千里眼,1,食事,3,火耐性,-1,,,,,,,,,河狸兽的牙,6,温暖的毛皮,6,山青虫,3,原盘石,3,,
初阶河狸兽护腿,0,1,1,0,0,0,1,1,0,0,0,0,0,千里眼,1,食事,3,火耐性,-1,,,,,,,,,河狸兽的牙,6,温暖的毛皮,6,山青虫,3,原盘石,3,,
初阶蓝速龙王腿甲,0,0,1,0,0,1,2,2,0,0,0,0,0,气绝抵抗,2,药王,2,麻痹抵抗,-2,,,,,,,,,蓝速龙王的牙,6,蓝速龙王的皮,6,圆蚂蚱,3,铁矿石,3,,
初阶蓝速龙王护腿,0,1,1,0,0,1,1,1,0,0,0,0,0,气绝抵抗,2,药王,2,麻痹抵抗,-2,,,,,,,,,蓝速龙王的牙,6,蓝速龙王的皮,6,圆蚂蚱,3,铁矿石,3,,
初阶大野猪王腿甲,0,0,1,0,0,1,2,2,0,0,0,0,0,研磨师,3,防御,2,饥饿感,-1,,,,,,,,,大野猪王的蹄,6,大野猪王的鬃,6,大野猪王的牙,4,圆蚂蚱,3,,
初阶大野猪王护腿,0,1,1,0,0,1,1,1,0,0,0,0,0,通常弹强化,3,防御,2,饥饿感,-1,,,,,,,,,大野猪王的蹄,6,大野猪王的鬃,6,大野猪王的牙,4,圆蚂蚱,3,,
初阶大怪鸟腿甲,0,0,1,0,0,1,2,2,0,0,0,0,0,攻击,3,火耐性,2,防御,-1,,,,,,,,,怪鸟的鳞,6,怪鸟的背甲,4,破损的喙,3,龙骨【小】,3,原盘石,3
初阶大怪鸟护腿,0,1,1,0,0,1,1,1,0,0,0,0,0,攻击,3,火耐性,2,防御,-1,,,,,,,,,怪鸟的鳞,6,怪鸟的背甲,4,破损的喙,3,龙骨【小】,3,原盘石,3
初阶黄速龙王腿甲,0,0,1,0,0,0,2,2,0,0,0,0,0,麻痹抵抗,2,特殊攻击,3,回复速度,-3,,,,,,,,,黄速龙王的麻痹牙,6,黄速龙王的皮,6,山青虫,3,原盘石,3,,
初阶黄速龙王护腿,0,1,1,0,0,0,1,1,0,0,0,0,0,麻痹抵抗,2,特殊攻击,3,回复速度,-3,,,,,,,,,黄速龙王的麻痹牙,6,黄速龙王的皮,6,山青虫,3,原盘石,3,,
