#Name,Male/Female,Blade/Gunner,Level,HR,Rarity,Slots,Min Defense,Max Defense,Fire Res,Water Res,Thunder Res,Ice Res,Dragon Res,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Skill 4,Points 4,Skill 5,Points 5,Skill 6,Points 6,Skill 7,Points 7,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4,Material 5,Num 5
初阶河狸兽腰甲,0,0,1,0,0,1,2,2,-1,1,0,0,0,千里眼,2,食事,3,火耐性,-2,,,,,,,,,河狸兽的牙,6,温暖的毛皮,6,河狸兽的爪,4,圆蚂蚱,3,,
初阶河狸兽护腰,0,1,1,0,0,1,1,1,0,1,0,0,0,千里眼,2,食事,3,火耐性,-2,,,,,,,,,河狸兽的牙,6,温暖的毛皮,6,河狸兽的爪,4,圆蚂蚱,3,,
初阶蓝速龙王腰甲,0,0,1,0,0,1,2,2,1,0,1,0,-1,气绝抵抗,1,药王,2,麻痹抵抗,-2,,,,,,,,,蓝速龙王的爪,6,蓝速龙的鳞,4,山青虫,3,龙骨【小】,3,,
初阶蓝速龙王护腰,0,1,1,0,0,1,1,1,0,0,0,0,0,气绝抵抗,1,药王,2,麻痹抵抗,-2,,,,,,,,,蓝速龙王的爪,6,蓝速龙的鳞,4,山青虫,3,龙骨【小】,3,,
初阶大野猪王腰甲,0,0,1,0,0,1,2,2,1,-1,-1,0,1,研磨师,2,防御,2,饥饿感,-2,,,,,,,,,大野猪王的蹄,6,大野猪王的鬃,6,山青虫,3,原盘石,3,,
初阶大野猪王护腰,0,1,1,0,0,1,1,1,0,-1,0,0,0,通常弹强化,2,防御,2,饥饿感,-2,,,,,,,,,大野猪王的蹄,6,大野猪王的鬃,6,山青虫,3,原盘石,3,,
初阶大怪鸟腰甲,0,0,1,0,0,1,2,2,1,-1,-1,-1,1,攻击,2,火耐性,2,防御,-1,,,,,,,,,怪鸟的背甲,6,怪鸟的翼,6,圆蚂蚱,3,铁矿石,3,,
初阶大怪鸟护腰,0,1,1,0,0,1,1,1,0,0,-1,0,1,攻击,2,火耐性,2,防御,-1,,,,,,,,,怪鸟的背甲,6,怪鸟的翼,6,圆蚂蚱,3,铁矿石,3,,
初阶黄速龙王腰甲,0,0,1,0,0,1,2,2,1,-1,1,-1,-1,麻痹抵抗,2,特殊攻击,2,回复速度,-3,,,,,,,,,黄速龙的鳞,6,黄速龙王的麻痹牙,4,黄速龙王的尾巴,3,兽骨【小】,3,铁矿石,3
初阶黄速龙王护腰,0,1,1,0,0,1,1,1,0,0,1,-1,0,麻痹抵抗,2,特殊攻击,2,回复速度,-3,,,,,,,,,黄速龙的鳞,6,黄速龙王的麻痹牙,4,黄速龙王的尾巴,3,兽骨【小】,3,铁矿石,3
初阶鬼狩蛛腰甲,0,0,10,0,0,1,3,3,-1,1,0,1,0,KO术,2,研磨师,2,气息,-2,,,,,,,,,鬼狩蛛的爪,6,鬼狩蛛的甲壳,4,山青虫,3,龙骨【小】,3,,
初阶鬼狩蛛护腰,0,1,10,0,0,1,2,2,-1,1,0,1,0,KO术,2,散弹强化,2,气息,-2,,,,,,,,,鬼狩蛛的爪,6,鬼狩蛛的甲壳,4,山青虫,3,龙骨【小】,3,,
初阶沙狸兽腰甲,0,0,10,0,0,1,3,3,1,-2,1,0,1,耐泥雪,2,高速设置,1,攻击,-1,,,,,,,,,沙狸兽的牙,6,沙狸兽的尾甲,6,山青虫,3,原盘石,3,,
初阶沙狸兽护腰,0,1,10,0,0,1,2,2,1,-1,1,0,1,耐泥雪,2,高速设置,1,攻击,-1,,,,,,,,,沙狸兽的牙,6,沙狸兽的尾甲,6,山青虫,3,原盘石,3,,
初阶毒怪鸟腰甲,0,0,10,0,0,1,3,3,-1,1,1,0,0,毒抵抗,2,雷耐性,2,饥饿感,-2,,,,,,,,,毒怪鸟的嘴,6,毒怪鸟的头,6,圆蚂蚱,3,铁矿石,3,,
初阶毒怪鸟护腰,0,1,10,0,0,1,2,2,-1,1,1,0,0,毒抵抗,2,雷耐性,2,饥饿感,-2,,,,,,,,,毒怪鸟的嘴,6,毒怪鸟的头,6,圆蚂蚱,3,铁矿石,3,,
初阶桃毛兽王腰甲,0,0,10,0,0,1,3,3,-1,0,1,0,0,抗菌,2,食事,1,饥饿感,-2,,,,,,,,,桃毛兽的毛,6,桃毛兽王的皮,4,圆蚂蚱,3,兽骨【小】,3,,
初阶桃毛兽王护腰,0,1,10,0,0,1,2,2,-1,0,1,0,0,抗菌,2,食事,1,饥饿感,-2,,,,,,,,,桃毛兽的毛,6,桃毛兽王的皮,4,圆蚂蚱,3,兽骨【小】,3,,
初阶沙雷鸟腰甲,0,0,10,0,0,2,3,3,0,-1,0,-1,1,风压抵抗,2,无伤,3,回复速度,-2,,,,,,,,,沙雷鸟的皮,6,沙雷鸟的翼,4,沙雷鸟的红鼻,3,龙骨【小】,3,原盘石,3
初阶沙雷鸟护腰,0,1,10,0,0,2,2,2,0,-1,0,-1,1,风压抵抗,2,无伤,3,回复速度,-2,,,,,,,,,沙雷鸟的皮,6,沙雷鸟的翼,4,沙雷鸟的红鼻,3,龙骨【小】,3,原盘石,3
初阶沙龙王腰甲,0,0,10,0,0,1,3,3,1,-1,0,-2,1,耐暑,2,会心术,2,耐寒,-2,,,,,,,,,沙龙王的皮,6,沙龙的鳞,4,圆蚂蚱,3,兽骨【小】,3,,
初阶沙龙王护腰,0,1,10,0,0,1,2,2,1,-1,0,-1,1,耐暑,2,会心术,2,耐寒,-2,,,,,,,,,沙龙王的皮,6,沙龙的鳞,4,圆蚂蚱,3,兽骨【小】,3,,
初阶大名盾蟹腰甲,0,0,20,0,0,1,7,7,-1,2,-3,1,0,防御,2,风压抵抗,2,雷属性攻击,-3,,,,,,,,,盾蟹的脚,6,盾蟹的小壳,6,黏着白蚁,3,燕雀石,3,,
初阶大名盾蟹护腰,0,1,20,0,0,1,5,5,-1,2,-2,1,0,防御,2,风压抵抗,2,雷属性攻击,-3,,,,,,,,,盾蟹的脚,6,盾蟹的小壳,6,黏着白蚁,3,燕雀石,3,,
初阶青怪鸟腰甲,0,0,20,0,0,0,7,7,1,-2,-1,0,1,达人,3,火属性攻击,2,体力,-2,,,,,,,,,青怪鸟的爪,6,青怪鸟的鳞,4,黏着白蚁,3,兽骨【中】,3,,
初阶青怪鸟护腰,0,1,20,0,0,0,5,5,1,-2,-1,0,1,达人,3,火属性攻击,2,体力,-2,,,,,,,,,青怪鸟的爪,6,青怪鸟的鳞,4,黏着白蚁,3,兽骨【中】,3,,
初阶电龙腰甲,0,0,20,0,0,1,7,7,-3,1,2,1,-1,回复速度,4,广域化,2,气绝抵抗,-2,,,,,,,,,电龙的牙,6,低压的电气袋,6,白化里脊肉,4,杀人蜂幼虫,3,,
初阶电龙护腰,0,1,20,0,0,1,5,5,-2,1,2,1,-1,回复速度,4,广域化,2,气绝抵抗,-2,,,,,,,,,电龙的牙,6,低压的电气袋,6,白化里脊肉,4,杀人蜂幼虫,3,,
初阶岩龙腰甲,0,0,20,0,0,0,7,7,-1,0,0,-1,1,睡眠抵抗,2,防御性能,2,麻痹抵抗,-2,,,,,,,,,岩龙的翼,6,岩龙的头壳,4,黏着白蚁,3,兽骨【中】,3,,
初阶岩龙护腰,0,1,20,0,0,0,5,5,-1,0,0,-1,1,睡眠抵抗,2,快速装填,2,麻痹抵抗,-2,,,,,,,,,岩龙的翼,6,岩龙的头壳,4,黏着白蚁,3,兽骨【中】,3,,
初阶眠鸟腰甲,0,0,20,0,0,2,7,7,-2,1,0,0,1,睡眠抵抗,2,荷尔蒙,3,回复速度,-2,,,,,,,,,稀释的眠液,6,破损的眠袋,4,眠鸟的胃石,3,龙骨【中】,3,大地结晶,3
初阶眠鸟护腰,0,1,20,0,0,2,5,5,-2,1,0,0,1,睡眠抵抗,2,荷尔蒙,3,回复速度,-2,,,,,,,,,稀释的眠液,6,破损的眠袋,4,眠鸟的胃石,3,龙骨【中】,3,大地结晶,3
初阶金毛兽王腰甲,0,0,30,0,0,1,16,16,-1,3,0,0,0,底力,2,重击,2,防御,-2,,,,,,,,,金毛兽王的牙,6,金毛兽王的大骨,6,杀人蜂幼虫,3,大地结晶,3,,
初阶金毛兽王护腰,0,1,30,0,0,1,12,12,-1,2,0,0,0,底力,2,重击,2,防御,-2,,,,,,,,,金毛兽王的牙,6,金毛兽王的大骨,6,杀人蜂幼虫,3,大地结晶,3,,
初阶骇狩蛛腰甲,0,0,30,0,0,2,16,16,-3,0,1,1,0,毒抵抗,2,麻痹抵抗,2,睡眠抵抗,-2,,,,,,,,,骇狩蛛的眼,6,骇狩蛛的毛,6,骇狩蛛的蛛丝,4,杀人蜂幼虫,3,,
初阶骇狩蛛护腰,0,1,30,0,0,2,12,12,-2,0,1,1,0,毒抵抗,2,麻痹抵抗,2,睡眠抵抗,-2,,,,,,,,,骇狩蛛的眼,6,骇狩蛛的毛,6,骇狩蛛的蛛丝,4,杀人蜂幼虫,3,,
初阶紫毒鸟腰甲,0,0,30,0,0,1,16,16,-4,0,3,1,0,气绝抵抗,1,风压抵抗,2,加护,-3,,,,,,,,,紫毒鸟的嘴,6,毒鸟的紫头,6,杀人蜂幼虫,3,大地结晶,3,,
初阶紫毒鸟护腰,0,1,30,0,0,1,12,12,-3,0,2,1,0,气绝抵抗,1,风压抵抗,2,加护,-3,,,,,,,,,紫毒鸟的嘴,6,毒鸟的紫头,6,杀人蜂幼虫,3,大地结晶,3,,
初阶将军镰蟹腰甲,0,0,30,0,0,1,16,16,0,1,-3,0,1,锋利度,2,研磨师,2,体力,-3,,,,,,,,,镰蟹的甲壳,6,镰蟹的脚,4,金真珠,3,龙骨【中】,3,大地结晶,3
初阶将军镰蟹护腰,0,1,30,0,0,1,12,12,0,1,-2,0,1,贯通弹强化,2,快速装填,2,体力,-3,,,,,,,,,镰蟹的甲壳,6,镰蟹的脚,4,金真珠,3,龙骨【中】,3,大地结晶,3
初阶雪狮子王腰甲,0,0,30,0,0,1,16,16,-3,1,0,1,0,耐泥雪,2,耐寒,1,冰属性攻击,2,气绝抵抗,-2,,,,,,,雪狮子的大骨,6,雪狮子的毛,6,杀人蜂幼虫,3,大地结晶,3,,
初阶雪狮子王护腰,0,1,30,0,0,1,12,12,-2,1,0,1,0,耐泥雪,2,耐寒,1,冰属性攻击,2,气绝抵抗,-2,,,,,,,雪狮子的大骨,6,雪狮子的毛,6,杀人蜂幼虫,3,大地结晶,3,,
初阶星龙腰甲,0,0,30,0,0,1,16,16,1,-1,0,0,1,蝶舞,2,气息,2,达人,-3,,,,,,,,,微光的体液,6,星龙的腹甲,4,杀人蜂幼虫,3,龙骨【中】,3,,
初阶星龙护腰,0,1,30,0,0,1,12,12,1,-1,0,0,1,蝶舞,2,气息,2,达人,-3,,,,,,,,,微光的体液,6,星龙的腹甲,4,杀人蜂幼虫,3,龙骨【中】,3,,
河狸兽腰甲,0,0,40,0,0,1,25,25,-2,4,0,0,0,强韧,2,食事,3,火耐性,-2,,,,,,,,,河狸兽的尖牙,12,优质的毛皮,12,河狸兽的尖爪,8,红角蝶,6,银喵玉,2
河狸兽护腰,0,1,40,0,0,1,19,19,-2,4,0,0,0,强韧,2,食事,3,火耐性,-2,,,,,,,,,河狸兽的尖牙,12,优质的毛皮,12,河狸兽的尖爪,8,红角蝶,6,银喵玉,2
蓝速龙王腰甲,0,0,40,0,0,1,25,25,2,0,2,0,-2,气绝抵抗,3,研磨师,2,药王,2,麻痹抵抗,-2,,,,,,,蓝速龙王的尖爪,12,蓝速龙的优质鳞,8,土蜂幼虫,6,龙骨【大】,6,银喵玉,2
蓝速龙王护腰,0,1,40,0,0,1,19,19,2,0,2,0,-2,气绝抵抗,3,快速装填,2,药王,2,麻痹抵抗,-2,,,,,,,蓝速龙王的尖爪,12,蓝速龙的优质鳞,8,土蜂幼虫,6,龙骨【大】,6,银喵玉,2
大野猪王腰甲,0,0,40,0,0,1,25,25,2,-4,-2,0,4,研磨师,2,体力,2,防御,2,饥饿感,-2,,,,,,,大野猪王的硬蹄,12,大野猪王的硬鬃,12,土蜂幼虫,6,光水晶,6,银喵玉,2
大野猪王护腰,0,1,40,0,0,1,19,19,2,-4,-2,0,4,通常弹强化,2,体力,2,防御,2,饥饿感,-2,,,,,,,大野猪王的硬蹄,12,大野猪王的硬鬃,12,土蜂幼虫,6,光水晶,6,银喵玉,2
大怪鸟腰甲,0,0,40,0,0,1,25,25,4,-2,-4,-2,4,体力,3,攻击,2,火耐性,2,防御,-1,,,,,,,怪鸟的刚翼,12,怪鸟的坚背甲,12,红角蝶,6,辉龙石,6,银喵玉,2
大怪鸟护腰,0,1,40,0,0,1,19,19,4,-2,-4,-2,4,体力,3,攻击,2,火耐性,2,防御,-1,,,,,,,怪鸟的刚翼,12,怪鸟的坚背甲,12,红角蝶,6,辉龙石,6,银喵玉,2
黄速龙王腰甲,0,0,40,0,0,2,25,25,2,-2,6,-4,-2,麻痹抵抗,2,特殊攻击,2,体力,3,回复速度,3,,,,,,,黄速龙的优质鳞,12,黄速龙王的麻痹尖牙,8,黄速龙王的韧尾,6,兽骨【大】,6,辉龙石,6
黄速龙王护腰,0,1,40,0,0,2,19,19,2,-2,5,-4,-2,麻痹抵抗,2,特殊攻击,2,体力,3,回复速度,3,,,,,,,黄速龙的优质鳞,12,黄速龙王的麻痹尖牙,8,黄速龙王的韧尾,6,兽骨【大】,6,辉龙石,6
鬼狩蛛腰甲,0,0,40,0,0,3,25,25,-4,2,0,2,0,KO术,2,研磨师,2,无伤,-2,,,,,,,,,鬼狩蛛的尖爪,12,鬼狩蛛的坚壳,8,土蜂幼虫,6,龙骨【大】,6,银喵玉,2
鬼狩蛛护腰,0,1,40,0,0,3,19,19,-4,2,0,2,0,KO术,2,快速装填,2,气息,-2,,,,,,,,,鬼狩蛛的尖爪,12,鬼狩蛛的坚壳,8,土蜂幼虫,6,龙骨【大】,6,银喵玉,2
沙狸兽腰甲,0,0,40,0,0,1,25,25,2,-6,2,0,2,耐泥雪,2,高速设置,1,回复速度,1,攻击,-1,,,,,,,沙狸兽的尖牙,12,沙狸兽的坚尾甲,12,土蜂幼虫,6,光水晶,6,银喵玉,2
沙狸兽护腰,0,1,40,0,0,1,19,19,2,-5,2,0,2,耐泥雪,2,高速设置,1,回复速度,1,攻击,-1,,,,,,,沙狸兽的尖牙,12,沙狸兽的坚尾甲,12,土蜂幼虫,6,光水晶,6,银喵玉,2
毒怪鸟腰甲,0,0,40,0,0,1,25,25,-6,2,4,0,0,毒抵抗,3,雷耐性,2,体术,2,饥饿感,-2,,,,,,,毒怪鸟的坚硬嘴,12,橡胶质的韧尾,12,红角蝶,6,辉龙石,6,银喵玉,2
毒怪鸟护腰,0,1,40,0,0,1,19,19,-5,2,4,0,0,毒抵抗,3,雷耐性,2,体术,2,饥饿感,-2,,,,,,,毒怪鸟的坚硬嘴,12,橡胶质的韧尾,12,红角蝶,6,辉龙石,6,银喵玉,2
桃毛兽王腰甲,0,0,40,0,0,1,25,25,-2,0,2,0,0,抗菌,2,食事,1,强韧,2,饥饿感,-2,,,,,,,桃毛兽的刚毛,12,桃毛兽王的优质皮,8,红角蝶,6,兽骨【大】,6,银喵玉,2
桃毛兽王护腰,0,1,40,0,0,1,19,19,-2,0,2,0,0,抗菌,2,食事,1,强韧,2,饥饿感,-2,,,,,,,桃毛兽的刚毛,12,桃毛兽王的优质皮,8,红角蝶,6,兽骨【大】,6,银喵玉,2
沙雷鸟腰甲,0,0,40,0,0,2,25,25,0,-4,2,-2,4,风压抵抗,3,回避性能,2,无伤,3,回复速度,-2,,,,,,,沙雷鸟的优质皮,12,沙雷鸟的刚翼,8,沙雷鸟的赤红鼻,6,龙骨【大】,6,光水晶,6
沙雷鸟护腰,0,1,40,0,0,2,19,19,0,-4,2,-2,4,风压抵抗,3,回避性能,2,无伤,3,回复速度,-2,,,,,,,沙雷鸟的优质皮,12,沙雷鸟的刚翼,8,沙雷鸟的赤红鼻,6,龙骨【大】,6,光水晶,6
沙龙王腰甲,0,0,40,0,0,1,25,25,4,-2,0,-6,2,耐暑,2,会心术,2,耐寒,-2,,,,,,,,,沙龙王的优质皮,12,沙龙的优质鳞,8,红角蝶,6,兽骨【大】,6,银喵玉,2
